Vambrace Honing Stage,Honing Success Rate,Unlock: Destiny Shard,Unlock: Silver,Honing: Destiny Shard,Destruction Stone Crystal,Guardian Stone Crystal,Leapstone,Advanced Abidos Fusion Material,Gold,Silver,Expected Destiny Shard,Expected Destruction Stone Crystal,Expected Guardian Stone Crystal,Expected Leapstone,Expected Advanced Abidos Fusion Material,Expected Gold,Expected Silver,Max Attempts (Artisan Pity),Pity-Capped Expected Destiny Shard,Pity-Capped Expected Destruction Stone Crystal,Pity-Capped Expected Guardian Stone Crystal,Pity-Capped Expected Leapstone,Pity-Capped Expected Advanced Abidos Fusion Material,Pity-Capped Expected Gold,Pity-Capped Expected Silver,Soft+Hard Pity Expected Destiny Shard,Soft+Hard Pity Expected Destruction Stone Crystal,Soft+Hard Pity Expected Guardian Stone Crystal,Soft+Hard Pity Expected Leapstone,Soft+Hard Pity Expected Advanced Abidos Fusion Material,Soft+Hard Pity Expected Gold,Soft+Hard Pity Expected Silver
1,15.0%,145000,1450000,14500,600,1800,30,22,5200,80000,96667,4000,12000,200,147,34667,533333,15,88222,3651,10952,183,134,31638,486744,72518,3001,9002,150,110,26007,400101
2,15.0%,145000,1450000,15000,620,1860,31,23,5400,80000,100000,4133,12400,207,153,36000,533333,15,91265,3772,11317,189,140,32855,486744,75019,3101,9302,155,115,27007,400101
3,15.0%,145000,1450000,15630,640,1925,32,24,5610,80000,104200,4267,12833,213,160,37400,533333,15,95098,3894,11712,195,146,34133,486744,78170,3201,9627,160,120,28057,400101
4,15.0%,145000,1450000,16280,660,1990,33,25,5830,80000,108533,4400,13267,220,167,38867,533333,15,99052,4016,12108,201,152,35471,486744,81421,3301,9953,165,125,29157,400101
5,15.0%,145000,1450000,16960,680,2055,34,26,6060,80000,113067,4533,13700,227,173,40400,533333,15,103190,4137,12503,207,158,36871,486744,84821,3401,10278,170,130,30308,400101
6,10.0%,148000,1480000,17670,700,2125,36,27,6300,80000,176700,7000,21250,360,270,63000,800000,22,159299,6311,19157,325,243,56796,721218,122043,4835,14677,249,186,43513,552545
7,10.0%,166000,1660000,18410,720,2195,38,28,6550,88000,184100,7200,21950,380,280,65500,880000,22,165970,6491,19788,343,252,59050,793340,127154,4973,15160,262,193,45240,607799
8,10.0%,166000,1660000,19180,745,2270,40,29,6810,88000,191800,7450,22700,400,290,68100,880000,22,172912,6716,20465,361,261,61394,793340,132473,5146,15678,276,200,47035,607799
9,10.0%,169000,1690000,19980,770,2345,42,30,7080,88000,199800,7700,23450,420,300,70800,880000,22,180124,6942,21141,379,270,63828,793340,137998,5318,16196,290,207,48900,607799
10,10.0%,204000,2040000,20810,795,2425,44,31,7360,88000,208100,7950,24250,440,310,73600,880000,22,187607,7167,21862,397,279,66352,793340,143731,5491,16749,304,214,50834,607799
11,5.0%,207000,2070000,21680,820,2505,46,32,7650,88000,433600,16400,50100,920,640,153000,1760000,44,388213,14683,44856,824,573,136985,1575774,264145,9991,30520,560,390,93206,1072175
12,5.0%,227000,2270000,22590,845,2590,48,33,7950,88000,451800,16900,51800,960,660,159000,1760000,44,404508,15131,46378,860,591,142357,1575774,275232,10295,31556,585,402,96861,1072175
13,5.0%,253000,2530000,23530,870,2680,50,34,8260,88000,470600,17400,53600,1000,680,165200,1760000,44,421340,15579,47989,895,609,147908,1575774,286685,10600,32653,609,414,100638,1072175
14,5.0%,275000,2750000,24510,900,2770,53,36,8590,88000,490200,18000,55400,1060,720,171800,1760000,44,438889,16116,49601,949,645,153817,1575774,298625,10965,33749,646,439,104659,1072175
15,5.0%,306000,3060000,25530,930,2865,56,38,8930,88000,510600,18600,57300,1120,760,178600,1760000,44,457153,16653,51302,1003,680,159905,1575774,311052,11331,34907,682,463,108801,1072175
16,3.0%,328000,3280000,26600,960,2965,59,40,9280,88000,886667,32000,98833,1967,1333,309333,2933333,72,787737,28430,87806,1747,1185,274820,2606048,503048,18155,56073,1116,756,175500,1664219
17,3.0%,360000,3600000,27710,990,3065,62,42,9650,104000,923667,33000,102167,2067,1400,321667,3466667,72,820609,29318,90767,1836,1244,285777,3079875,524040,18722,57964,1173,794,182497,1966805
18,3.0%,388000,3880000,28870,1020,3170,65,44,10030,104000,962333,34000,105667,2167,1467,334333,3466667,72,854961,30206,93877,1925,1303,297030,3079875,545977,19290,59950,1229,832,189683,1966805
19,3.0%,420000,4200000,30080,1055,3280,68,46,10430,104000,1002667,35167,109333,2267,1533,347667,3466667,72,890795,31243,97135,2014,1362,308876,3079875,568860,19952,62030,1286,870,197248,1966805
20,3.0%,447000,4470000,31340,1090,3390,72,48,10840,144000,1044667,36333,113000,2400,1600,361333,4800000,72,928109,32279,100392,2132,1421,321018,4264443,592689,20614,64110,1362,908,205002,2723268
21,1.5%,480000,4800000,32650,1125,3505,76,50,11270,144000,2176667,75000,233667,5067,3333,751333,9600000,144,1929717,66491,207156,4492,2955,666092,8510848,1158715,39925,124389,2697,1774,399961,5110412
22,1.5%,513000,5130000,34020,1160,3625,80,53,11720,192000,2268000,77333,241667,5333,3533,781333,12800000,144,2010688,68560,214249,4728,3132,692688,11347798,1207335,41167,128648,2839,1881,415931,6813883
